ZINC_ID,SMILES
ZINC6t0000000AWu,O=C(O)C1CN(C=CC2CC2)C[C@H]1c1cccc(F)c1
ZINC5s0000000ASG,O=C(O)C1CN(C/C=C/Br)C[C@H]1c1cccc(F)c1
ZINC8p0000002gJY,O=C(O)C1CN(C=C[C@@H]2CCOC2)C[C@H]1c1cccc(F)c1
ZINC8p0000002gJZ,O=C(O)C1CN(C=C[C@H]2CCOC2)C[C@H]1c1cccc(F)c1
ZINC9u0000000C2W,O=C(O)C1CN(C=Cc2ccccn2)C[C@H]1c1cccc(F)c1
ZINC9u0000000C2X,O=C(O)C1CN(C=Cc2cccnc2)C[C@H]1c1cccc(F)c1
ZINC9u0000000C2Y,O=C(O)C1CN(C=Cc2ccncc2)C[C@H]1c1cccc(F)c1
ZINC8n0000002gJX,O=C(O)C1CN(C=Cc2cn[nH]c2)C[C@H]1c1cccc(F)c1
ZINCap0000004Ti2,O=C(O)C1CN(C=CCN2CC3CC2C3)C[C@H]1c1cccc(F)c1
ZINC9p0000004Ti5,O=C(O)C1CN(C=CCN2CCCC2)C[C@H]1c1cccc(F)c1
ZINCap0000005yP1,O=C(O)C1CN(C=CCN2CCCC=N2)C[C@H]1c1cccc(F)c1
ZINCat0000001qbd,O=C(O)C1CN(C=CCN2CCCCC2)C[C@H]1c1cccc(F)c1
ZINCae00000057uX,O=C(O)C1CN(C=CCN2CCNCC2)C[C@H]1c1cccc(F)c1
ZINCai00000057v2,O=C(O)C1CN(C=CCN2CCOCC2)C[C@H]1c1cccc(F)c1
ZINCap00000057v4,O=C(O)C1CN(C=CCN2CCSCC2)C[C@H]1c1cccc(F)c1
ZINCap0000004Tia,O=C(O)C1CN(C=CCN2CC[C@@H]3C[C@@H]32)C[C@H]1c1cccc(F)c1
ZINCap00000057uH,O=C(O)C1CN(C=CCN2CC[C@@H]3C[C@H]32)C[C@H]1c1cccc(F)c1
ZINCap00000057uI,O=C(O)C1CN(C=CCN2CC[C@H]3C[C@@H]32)C[C@H]1c1cccc(F)c1
ZINCap0000004Tib,O=C(O)C1CN(C=CCN2CC[C@H]3C[C@H]32)C[C@H]1c1cccc(F)c1
ZINCao00000057uO,O=C(O)C1CN(C=CCN2C[C@@H]3C[C@H]3C2)C[C@H]1c1cccc(F)c1
ZINCao0000004Tii,O=C(O)C1CN(C=CCN2C[C@H]3C[C@@H]3C2)C[C@H]1c1cccc(F)c1
ZINCao0000004Tij,O=C(O)C1CN(C=CCN2C[C@H]3C[C@H]3C2)C[C@H]1c1cccc(F)c1
ZINC8m0000004TiI,O=C(O)C1CN(C=CCNC2CC2)C[C@H]1c1cccc(F)c1
ZINCau0000001z6t,O=C(O)C1CN(C=CCNC2CCCC2)C[C@H]1c1cccc(F)c1
ZINCae0000005yPP,O=C(O)C1CN(C=CCN[C@@H]2CCNC2)C[C@H]1c1cccc(F)c1
ZINCai0000005yPS,O=C(O)C1CN(C=CCN[C@@H]2CCOC2)C[C@H]1c1cccc(F)c1
ZINCap0000005yPT,O=C(O)C1CN(C=CCN[C@@H]2CCSC2)C[C@H]1c1cccc(F)c1
ZINCa90000005yPZ,O=C(O)C1CN(C=CCN[C@@H]2CNOC2)C[C@H]1c1cccc(F)c1
ZINCae0000005yPQ,O=C(O)C1CN(C=CCN[C@H]2CCNC2)C[C@H]1c1cccc(F)c1
ZINCai0000005W3x,O=C(O)C1CN(C=CCN[C@H]2CCOC2)C[C@H]1c1cccc(F)c1
ZINCap0000005W3A,O=C(O)C1CN(C=CCN[C@H]2CCSC2)C[C@H]1c1cccc(F)c1
ZINCa90000005yQ0,O=C(O)C1CN(C=CCN[C@H]2CNOC2)C[C@H]1c1cccc(F)c1
ZINC9q0000001z78,O=C(O)C1CN(C=CCSC2COC2)C[C@H]1c1cccc(F)c1
ZINCau0000001z7R,O=C(O)C1CN(C=CCS[C@@H]2CCOC2)C[C@H]1c1cccc(F)c1
ZINCau0000001FRO,O=C(O)C1CN(C=CCS[C@H]2CCOC2)C[C@H]1c1cccc(F)c1
ZINC7s0000000B27,O=C(O)C1CN(CCO)C[C@H]1c1cccc(F)c1
